Location,Latitude,Longitude
sutro baths (point lobos avenue),37.7804369,-122.5136935
"bimbo's 365 club (1025 columbus avenue, north beach)",37.8037214,-122.4155764
powell and geary streets (union square),37.7873819,-122.4082412
lombard street between hyde and leavenworth,0.0,0.0
"public health service hospital (presidio, golden gate national recreation area)",37.8480388,-122.5294085
mandarin theatre (1021 grant avenue),0.0,0.0
montgomery between green and broadway,0.0,0.0
951 hudson avenue,37.7331614,-122.376629
"mario's café, 566 columbus",37.800256,-122.409829
presidio branch library,37.7888519,-122.444892
"infield batting cages, 1888 clement street",37.7825272,-122.4792965
"westin st. francis hotel (335 powell street, union square)",37.7877881,-122.4088321
westin st. francis hotel (335 powell street),37.7877881,-122.4088321
mission creek harbor along channel st.,37.7708696,-122.3988211
145 barlett st.,37.7546686,-122.4195856
castro street between 17th & 18th,37.7609603,-122.435291
601 buena vista ave west,37.766921,-122.4440326
belgravia apartments (795 sutter street at jones),37.7885369,-122.4132913
golden gate bridge,37.8199286,-122.4782551
4100 20th st,37.758031,-122.43269
hall of justice (850 bryant street),37.775471,-122.4037169
washington square bar & grill (1707 powell),37.8004126,-122.4110914
corona heights park,37.7653122,-122.4385846
23rd & iowa streets (dogpatch),37.7551696,-122.3918784
m.h. de young memorial museum (golden gate park),37.771469,-122.4686755
mclaren park (visitacion  valley),37.719309,-122.4193742
20th and folsom streets,37.7589107,-122.4147198
california at mason,37.7918421,-122.4108428
pier 14 san francisco,37.794042,-122.3905325
770 haight st,37.771831,-122.43489
sansome (washington to bush) pine (davis to kearny) bush: kearny to battery,0.0,0.0
battery street (the embarcadero),37.8035229,-122.4020615
1119 alabama street,37.7536766,-122.4108745
pine and leavenworth,37.7902649,-122.4155825
312 fillmore street,37.772407,-122.4303972
harrison street (the embarcadero),37.7894745,-122.3886065
marina blvd from laguna to baker,0.0,0.0
spofford between washington and clay,0.0,0.0
yerba buena center for the arts,37.7856437,-122.4021904
"muddy waters, 521 valencia street",37.76451,-122.4217101
embarcadero between harrison and folsom st,37.7908225,-122.3898216
city light bookstore (261 columbus avenue),37.7976073,-122.4065603
southern pacific memorial hospital (1400 fell street),39.125658,-88.55037349999999
fillmore between haight and waller,37.7713322,-122.4301785
turk st between lyon and baker st,37.7791807,-122.4436125
lafayette park (pacific heights),37.7916146,-122.4276133
golden gate ave & jones,37.7820851,-122.4122427
19 green street (north beach),39.8437158,-86.3975413
"atlas café, 3049 20th st.",37.7589457,-122.4114619
23rd & capp streets (mission district),37.7539117,-122.4175294
coffee dan's (o'farrell street at powell),0.0,0.0
mission inn (5630 mission st),37.7111874,-122.4471819
university of california hastings college of the law,37.7811559,-122.415848
spring valley school (1451 jackson street),37.7940767,-122.4188422
"laguna honda hospital, 375 laguna honda blvd.",37.7492806,-122.4570224
jack kerouac alley between columbus & grant streets,0.0,0.0
pacific & divisadero,37.7925186,-122.44136
"castro theatre (429 castro street, the castro)",37.7620333,-122.4347591
17th and arkansas,37.7650337,-122.3987168
muni metro east (501 cesar chavez),0.0,0.0
caffe trieste,37.7986623,-122.4073207
the castro,37.7609082,-122.4350043
various haight st. vintage shops,37.7696426,-122.4488782
sacramento & washington streets,38.8954329,-121.0781552
100 alemany blvd.,37.7357554,-122.4098815
forest hill station- muni,37.7479845,-122.4590076
"blind cat, 3050 24th street, san francisco",37.7527597,-122.4132336
2915 16th st.,33.1989342,-87.5730212
twin peaks,36.062686,-95.88584399999999
intersection of columbus & mason streets,37.8021489,-122.4129282
"matching half café, 1799 mcallister street",37.7772762,-122.4414404
george washington high school (600 32nd avenue ),37.7778259,-122.4918861
westin st. francis,37.7877881,-122.4088321
vallejo street garage,37.798724,-122.4099113
22nd avenue & balboa street (richmond district),37.7764599,-122.4812627
1018 tennessee st.,37.758936,-122.389657
john shelley drive john mclaren park,37.7221546,-122.4188879
horace mann school (3351 23rd street),37.7531025,-122.4201806
vallejo street garage; 766 vallejo st.,37.798724,-122.4099113
el camino del mar,37.7857877,-122.4962368
manor west (750 harrison st.),37.781873,-122.398785
"neiman marcus (150 stockton street, union square)",37.7873579,-122.4060936
california & davis st,37.7935225,-122.3976275
howard street at steuart street,37.7920034,-122.3916688
café picaro 3120 16th street,37.7650784,-122.4225222
24th and castro streets (noe valley),37.7513079,-122.4341091
sokoji-soto zen buddhist temple (1691 laguna street),37.78651,-122.428578
"maritime museum, building 201 (fort mason)",37.806943,-122.4304005
"mission st., embarcadero, and front between clay and market",0.0,0.0
moose's restaurant (1652 stockton),37.8010894,-122.409101
vermont street between 20th and 22nd streets,0.0,0.0
marquee lofts (1000 van ness avenue at alice b. toklas place),37.7851045,-122.4205194
new russian hill market (1198 pacific avenue at jones),37.7959824,-122.4148973
california between kearney and davis,36.6008306,-119.5108678
grant avenue between sacramento and washington,0.0,0.0
ernie's restaurant (847 montgomery street),37.7925064,-122.4106215
curran theater (445 geary street),37.7869708,-122.4105671
the ferry building,37.7955703,-122.3933208
"wells fargo bank (1 california street, financial district)",0.0,0.0
"""metzger's apt"" 151 alice b. toklas pl.",0.0,0.0
the san francisco bay,37.6909682,-122.3107517
2934 24th st.,37.7529414,-122.4107027
transamerica pyramid (600 montgomery street),37.79517750000001,-122.4027787
city club (155 sansome street),37.7916758,-122.4009994
firestation #3 (brazil avenue and athens street),37.7163013,-122.4315382
"musee mecanique, fisherman's wharf",37.8093405,-122.4160609
sound factory (1st and harrison streets),0.0,0.0
the barbary coast,37.7822332,-122.4079473
pier 39 (fisherman's wharf),37.80867300000001,-122.409821
"mirant energy, llc (1301 illinois street, the dogpatch)",0.0,0.0
presidio heights neighborhood,37.7889125,-122.4538009
3079 16th street,37.7646893,-122.4212802
market & church st.,33.8093259,-84.2394667
wine impression,37.7864371,-122.4510344
940 powell st.,37.7934919,-122.4092654
kohl building (400 montgomery street),37.7931409,-122.4025849
roaring twenties nightclub (555 broadway at columbus),37.7980446,-122.4064657
bernal heights park,37.7433416,-122.4139903
haight at masonic,37.7702198,-122.4453661
mission & beal,37.7911592,-122.3958262
alamo square park,37.7763694,-122.434819
"sf zoo, 2945 sloat blvd",37.7331299,-122.5051593
"eureka arts center, 4400 20th st.",37.7576924,-122.4370414
swedenborgian church (2107 lyon street),37.7904157,-122.4462924
castle street @ green street,51.53087319999999,0.0377523
roxie theater (3117 16th st.),37.7646581,-122.422429
chrissy field,37.8040257,-122.4650165
20th st and illinois/faxon st. and kenwood/glenbrook at mt. springs,0.0,0.0
"cordova market, 301 rolph street, san francisco",37.7135191,-122.436377
pier 96,40.771243,-73.9955265
stockton tunnel (stockton street at sutter street),37.7900691,-122.4064769
the magazine at 920 larkin,37.7864628,-122.418059
star's café (55 golden gate avenue at van ness),37.789844,-122.421925
1901 ocean ave. at ashton ave.,37.7250734,-122.4625197
hyatt regency hotel (5 embarcadero center),37.794372,-122.395843
"mcdonald's restaurant (701 3rd street, soma)",37.77888830000001,-122.3925021
red's java house (pier 30),37.7872148,-122.3874311
60 leavenworth st.,37.7811707,-122.4135524
taylor st. from broadway to filbert,0.0,0.0
"san francisco fire station 38 (2150 california street, pacific heights)",37.7896652,-122.4299581
embarcadero from broadway to folsom,0.0,0.0
van ness avenue,37.7917022,-122.4226899
embarcadero at lombard st.,37.80419,-122.4022693
lombard & divisadero streets (marina district),37.7989556,-122.4426451
leavenworth from filbert & francisco st,0.0,0.0
san francisco zoo (2701 sloat blvd.),37.7331299,-122.5051593
jackson st. at spruce,37.7899861,-122.4541352
chaya / perry's 132 embarcadero,0.0,0.0
the tamalpais building (1201 greenwich street at hyde),0.0,0.0
"william stout architectural books, 804 montgomery st.",37.7966361,-122.4033161
"macchiarini steps, kearny between vallejo and broadway",0.0,0.0
sheraton palace hotel (639 market street),37.7881439,-122.4017237
carl & cole streets (cole valley),37.7658058,-122.4499855
"presidio, golden gate national recreation area",37.7988737,-122.4661937
"near point lobos, el camino del mar",37.7848836,-122.50751
marina green (marina district),37.8069514,-122.4393511
gaspare's pizza house (5546 geary blvd.),37.780586,-122.479152
11 san jacinto ave.,37.7352805,-122.4632487
valencia st. from 16th to 17th,0.0,0.0
"american can company (between illinois & kentucky, 20th and 22nd streets)",0.0,0.0
2190 washington street (pacific heights),37.792605,-122.4291458
fog city diner (1300 battery street),37.8035474,-122.4019217
university club,36.13721,-95.9909764
601 buena vista west,37.766921,-122.4440326
100 church street,41.4887544,-73.0561561
50 california street,37.7940487,-122.3973037
16th and utah,41.237842,-111.944696
1954 mason street (north beach),37.8017281,-122.4127017
geary from 22nd ave to arguello,0.0,0.0
40 prentiss street,42.3841629,-71.11685469999999
coi restaurant (373 broadway),37.7980647,-122.4034273
sacramento & front st.,37.7942967,-122.3989876
516 green street,34.3067717,-83.8262139
510 noe street & 18th st.,37.7610313,-122.4328117
sacramento & hyde streets (nob hill),37.791938,-122.4176076
426 castro st.,37.7620409,-122.4354446
market & steuart streets (financial district),37.7944659,-122.3947991
embarcadero street station- bart,37.793887,-122.395817
presidio church at 130 fisher loop,37.7993009,-122.4618706
222 mason st.,37.7860672,-122.4092521
conservatory of flowers (golden gate park),37.7724451,-122.4601817
san francisco city hall,37.7792597,-122.4192646
octavia & hayes streets (hayes valley),37.7767142,-122.4243971
sutro baths,37.7804369,-122.5136935
telegraph hill blvd (telegraph hill),37.8027862,-122.4060487
clarion alley between valencia and mission,37.7629366,-122.4215257
1243 19th street,37.7611679,-122.3952523
f train,48.73036889999999,11.8301248
washington street & waverly place (chinatown),37.7950851,-122.4070174
"burger island (901 3rd street, china basin)",0.0,0.0
ccsf alemany campus,37.7256557,-122.4510586
"fiesta laundromat (898 s. van ness ave., mission)",37.7588719,-122.4172704
2107 union street,37.7971178,-122.4340934
california & powell,37.7920527,-122.409182
343 union street,37.8008025,-122.4050774
market street,40.882248,-85.49413899999999
42 walter street,37.7684309,-122.4326629
filbert st. from jones to mason,0.0,0.0
883 42nd ave.,37.7720868,-122.5026756
"the 500 club (500 guerrero street, mission district)",37.7630418,-122.4241468
pier 50,37.7739371,-122.3848022
powell st. from california st. to sutter st.,37.7844688,-122.4079864
"red's java house (pier 30-32, the embarcadero)",37.7872148,-122.3874311
923 vermont st.,37.7579997,-122.4037415
vallejo garage roof (vallejo at powell),38.164191,-122.179852
1521 masonic avenue at piedmont street,37.7659828,-122.4441981
trolley car from market and 11th,37.7850854,-122.407624
900 block of grant avenue (chinatown),37.7952716,-122.4063847
10th street between market & mission,37.7756242,-122.4158817
90 gold street,40.7098203,-74.0038754
pier 33 (embarcadero),37.8078549,-122.4046075
market street (from 6th- 4th streets),0.0,0.0
4015 21st st,34.4186608,-103.1580168
montgomery street at post street,37.7891114,-122.4020388
"sf general hospital center (1001 potrero avenue, potrero hill)",37.755535,-122.4049855
aquatic park (jefferson street),37.8069915,-122.4219817
"conservatory of flowers, golden gate park",37.7724451,-122.4601817
"west chrissy field (presidio, golden gate national recreation area)",37.8040257,-122.4650165
32 napier lane,37.8025807,-122.4038407
2700 vallejo street (pacific heights),37.7945977,-122.4420071
the saloon (1232 grant avenue),37.7985867,-122.4070229
520-522a green street at grant street,37.79971219999999,-122.4074155
washington square park (north beach),37.8008473,-122.4099791
15th st. between vermont and kansas,0.0,0.0
1138 alabama st,37.75367,-122.4112992
13 lucky street,37.75224250000001,-122.4134189
2340 francisco street,37.80107090000001,-122.4438717
mission between 19th and 25th st.,0.0,0.0
bernal heights neighborhood,37.7411622,-122.4178378
la bodega (1332 grant avenue at vallejo),0.0,0.0
columbus and green,32.2270531,-107.7513099
higher grounds coffee house,34.1310321,-83.765959
82 & 67 rico way (marina district),0.0,0.0
2632 larkin street at lombard,37.80178069999999,-122.4212677
"fort point (presidio, golden gate national recreation area)",37.8106185,-122.4770527
mason street @ vallejo,37.7981761,-122.412118
20 hill street,41.4803454,-75.56949039999999
california st. between drumm st. and kearny st.,37.7926103,-122.404115
embarcadero around rincon park,37.7915675,-122.3899424
broadway & taylor,42.4238413,-71.042628
520 castro st.,37.7604765,-122.4351507
mason street at jackson,42.2430777,-84.40947709999999
filbert between grant and kearny,0.0,0.0
887 de haro street,37.7586395,-122.4007742
clementina & sumner streets,37.7759045,-122.4100241
sansome street (the embarcadero),37.80527410000001,-122.403596
terry a. francois blvd.,37.7701426,-122.3864105
"south park (between 2nd and 3rd streets, brannan and bryant streets)",37.778898,-122.396246
19th and kansas st.,37.76090970000001,-122.4031849
alcoa building (1 maritime plaza),37.7956599,-122.3992066
mission street @ 22nd street,37.7554447,-122.4187761
texas & 19th streets (potrero hill),37.7613708,-122.3954666
mission arts center,37.7581831,-122.4132469
pier 24,37.789222,-122.38777
766 sutter street,37.7889245,-122.4131252
water work in sf bay,37.7792913,-122.4135879
555 market st.,37.78999900000001,-122.3999087
montgomery & vallejo streets (telegraph hill),37.799174,-122.4040675
pine st. & grant,37.7915062,-122.4057618
duboce park,37.76955100000001,-122.433214
"balboa pool lot, san jose avenue & havelock st",37.7261581,-122.4433243
chestnut & divisadero streets (marina district),37.7999844,-122.44287
21st st & sanchez,37.756369,-122.4301273
potrero &san bruno,37.7608017,-122.4051117
hyatt fisherman's wharf (555 northpoint street),37.8059095,-122.4161187
mark hopkins hotel (999 california street),37.79150509999999,-122.4104582
polk and northpoint st.,37.8052968,-122.4236765
"tiburon hiking trail, tiburon, ca",37.8884463,-122.4494381
pier 7 (the embarcadero),37.7986725,-122.3968247
polk & larkin streets,37.7822605,-122.4130207
"sheraton palace hotel (2 montgomery street, financial district)",37.7881439,-122.4017237
ross alley (chinatown),37.7955378,-122.407378
folsom,38.6779591,-121.1760583
kearny street between broadway and pacific avenue,37.79717,-122.405222
"california hall (625 polk street, van ness/civic center)",37.7814677,-122.4206279
pier 14,21.3172917,-157.8897484
intersection of york & peralta (bernal heights),37.747431,-122.4072802
van ness and market street muni exit,37.7748712,-122.4195992
at&t stadium,32.7472844,-97.09449389999999
lombard st between hyde and larkin st,0.0,0.0
california and jones st.,37.791424,-122.4141308
mario's bohemian cigar store (washington square),37.800256,-122.409829
larkin & francisco streets (russian hill),37.80356080000001,-122.4218062
roof of cable car (california at front street),37.7947043,-122.4117199
s.s. jeremiah o'brien,37.8110638,-122.4181442
claire lilienthal elementary school,37.7871537,-122.4579983
fior d' italia (601 union street at stockton),37.804259,-122.413523
one embarcadero center (financial district),37.7946507,-122.3998262
chinatown,40.7157509,-73.9970307
"aladdin terrace (off of taylor street, between filbert and union)",0.0,0.0
pier 39,37.80867300000001,-122.409821
firestation #38 (california & laguna),33.5255892,-117.7181339
75 california street,37.7935632,-122.3973351
howard st. from embarcadero to 11 st.,37.7915556,-122.3916812
1 urbano,37.72443519999999,-122.4635252
pine st. between market and montgomery,45.52144390000001,-122.6723382
alco plaza,31.0961077,-87.0859684
pier 45,40.7331926,-74.0116944
pier 43,21.3193804,-157.8905036
679 madrid st,37.7187495,-122.4346684
hills brothers plaza (the embarcadero at harrison),37.7899545,-122.389913
"the cannery (281 leavenworth street, fisherman's wharf)",37.8072893,-122.4194343
moscone convention center,37.7831029,-122.4040588
"eber electronics (2355 market street, castro)",0.0,0.0
raw hide ii (280 seventh street),0.0,0.0
850 bryant- 6th floor county jail,37.77523619999999,-122.4048949
pier 41,37.809167,-122.411389
lombard & laguna streets (marina district),37.800526,-122.4311473
sf chronicle building (901 mission st),37.7821582,-122.4065832
unitarian church (1187 franklin st.),37.7853466,-122.4231664
port of san francisco,37.7968374,-122.3950767
pier 45 - jeremiah o'brien liberty ship,37.8110638,-122.4181442
leavenworth at mcallister st,37.7809321,-122.4136762
holiday inn select downtown hotel (750 kearney street),37.7951599,-122.4042016
"dolores park, san francisco",37.7596168,-122.4269038
420 jones st. at ellis st.,37.784875,-122.4128063
"marriott marquis, 780 mission street",37.7852279,-122.404389
1 market st. landmark building,37.79396,-122.39496
pierce street between pacific & green streets,47.2535967,-122.4390057
5th ave @ fulton street in golden gate park,37.7737373,-122.4627045
772 commercial street at kearney,37.7884721,-122.3987098
embarcadero freeway,37.7881524,-122.2512872
"clayton post office, 554 clayton st.",37.7700395,-122.4484058
"tonga room, fairmont hotel, 950 mason street",37.7921357,-122.4099773
castro st. from market to 18th st.,37.7605255,-122.4383836
farley's café (1315 18th street near missouri),37.7624718,-122.3959956
304 lily st.,37.7742127,-122.4261101
greenwich st at battery st,37.8032569,-122.4020093
253 4th ave.,40.676066,-73.98350099999999
"sparky's diner, 242 church street",37.7666948,-122.4290866
clay st. at taylor,37.7934487,-122.4128493
columbus & lombard streets (north beach),37.8027549,-122.413728
1055 montgomery st.,37.798888,-122.404283
2633 vallejo street,37.7945299,-122.4406982
2090 jackson street,37.7933715,-122.4294523
"japanese tea garden (hagiwara tea garden drive, golden gate park)",37.7700914,-122.470436
"state garage, 818 leavenworth",37.788783,-122.4151264
"punjab café, 838 24th st.",37.7530688,-122.4089713
160 church street,43.0848371,-73.7928767
montgomery street at union street,37.8010499,-122.4043889
embarcadero & washington,37.7966899,-122.3956093
307 filbert street,37.8020913,-122.4047753
players arcade at pier 39,37.811104,-122.410476
john muir drive (lake merced),37.7156029,-122.4954571
1601 lane st.,37.7318281,-122.3896976
550 el camino del mar (seacliff),37.7875542,-122.4899412
cybelle's pizza (1000 bush street),37.762434,-122.466411
mission & fremont st,37.7904547,-122.3967264
café cantata (2040 union street),37.76968919999999,-122.450652
europa café (4318 california st. and 5th ave.),37.7852135,-122.4638934
22nd and carolina streets (potrero hill),37.75724700000001,-122.400008
grant street at pacific avenue,37.79690970000001,-122.4068577
california st from mason to kearny,0.0,0.0
war memorial opera house (401 van ness avenue),37.7785999,-122.4208
first bank (550 montgomery street at commercial),37.7935837,-122.4026419
market at mason,37.7832203,-122.4090909
albert s. samuels clock (856 market street between powell and stockton),0.0,0.0
198 gough street,37.7748761,-122.4223777
bayshore blvd near cesar chavez (bayview),0.0,0.0
duboce between buena vista east and alpine st,37.7686955,-122.443738
dante building (1606 stockton street at union),0.0,0.0
900 lombard street,37.8025519,-122.4165769
"mudpie, 2185 fillmore street",37.7895789,-122.4342146
"san francisco general hospital medical center (1001 potrero avenue, potrero hill)",37.755535,-122.4049855
"the music concourse (martin luther king, jr. drive, golden gate park)",37.7688958,-122.4672329
buena vista park,37.7684046,-122.4414145
"sutter stockton garage, 444 stockton",37.7900691,-122.4064769
broadway studios (435 broadway at montgomery street),37.7980293,-122.4044496
edinburgh castle (950 geary street),37.7860992,-122.4189659
"cathedral hill hotel (1101 van ness avenue, civic center)",37.786072,-122.421706
grant between bush and broadway,0.0,0.0
350 union street,37.8010954,-122.4052792
waverly pl between washington and sacramento,0.0,0.0
castagnola's restaurant (fisherman's wharf),37.8081971,-122.417549
mel's drive-in (corner south van ness & mission st.),37.7841099,-122.4045148
muddy waters coffee house,36.300479,-76.224003
bush and sansome st.,37.7911874,-122.4007825
united nations plaza,40.749548,-73.96925879999999
lincoln park,41.9214378,-87.65130429999999
castro st. between 21st an hill st,0.0,0.0
601 buena vista ave west at java st.,37.7669436,-122.4437247
jones & pacific,37.7958902,-122.4150305
presidio (golden gate national recreation area),37.7988737,-122.4661937
randall museum,37.7645294,-122.4381999
california & larkin streets (nob hill),37.790797,-122.4190635
22nd bet. carolina & rhode island streets (potrero hill),0.0,0.0
flood building (870 market street),37.7850231,-122.4070834
california at grant,38.6295178,-121.3212545
leavenworth at green,37.7985017,-122.4172437
koshland park,37.77327760000001,-122.4267285
california & hyde streets,37.7937507,-122.4179707
montgomery between pacific and broadway,0.0,0.0
700 kansas st.,37.76075540000001,-122.4034896
1101 filbert st.,37.8002042,-122.4178308
mason & california streets (nob hill),37.7918421,-122.4108428
745 treat ave,37.7582061,-122.4130234
tonga room,37.7921357,-122.4099773
glide memorial church (434 ellis st),37.785154,-122.4114072
turk street between mason & leavenworth,0.0,0.0
